All_Poverty,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,falling,rising,stable,M_poverty_frac,F_poverty_frac,All_poverty_frac,M_with_frac,F_with_frac,All_with_frac,M_without_frac,F_without_frac,All_without_frac
23914,10698,13216,78326.0,87235.0,50535.0,53935.0,63757.0,53926.0,120747,23245,122426,21393,243173,44638,61.5,131.0,47.3,96.0,0.0,0.0,1.0,7429.579421078948,9189.328252873403,8308.924954223432,83856.74204122451,85125.0530180296,84490.51634579638,16143.257958775486,14874.946981970394,15509.483654203626
4364,2199,2165,51012.0,92647.0,73661.0,41594.0,110625.0,160114.0,6396,2708,6627,1774,13023,4482,62.7,6.0,58.3,5.0,0.0,0.0,1.0,24154.21792618629,25770.741578383528,24930.019994287348,70254.8330404218,78883.46625401737,74395.88688946015,29745.166959578208,21116.533745982622,25604.113110539845
7752,3523,4229,71068.0,74242.0,56353.0,48333.0,56339.0,55284.0,40605,6957,40210,5322,80815,12279,58.1,36.0,54.0,31.0,0.0,0.0,1.0,7407.173794205459,9287.973293507863,8327.067265344705,85372.77658635045,88311.51717473425,86810.10591445207,14627.223413649552,11688.482825265748,13189.89408554794
2110,1145,965,85746.0,90553.0,106964.0,57821.0,80893.0,76083.0,13739,2433,13582,2213,27321,4646,35.1,9.0,34.4,8.0,0.0,0.0,1.0,7080.1385110066785,6109.528331750555,6600.556824224982,84955.47860499629,85989.23710034821,85466.26208277285,15044.52139500371,14010.762899651789,14533.737917227141
5558,2596,2962,63684.0,64663.0,122660.0,46458.0,58125.0,64148.0,22391,6435,21668,5433,44059,11868,64.9,39.0,50.1,28.0,0.0,0.0,1.0,9005.758690071463,10929.485996826685,9937.95483398001,77676.40324706862,79952.76927050661,78779.48039408514,22323.596752931382,20047.230729493374,21220.519605914855
1552,962,590,70887.0,82857.0,26827.0,48179.0,56585.0,87000.0,4941,1920,4943,1479,9884,3399,74.7,7.0,76.2,6.0,0.0,0.0,1.0,14021.279696837197,9187.169106197445,11684.107505834525,72015.7411456056,76969.79134226097,74410.90115184823,27984.2588543944,23030.208657739022,25589.098848151774
9454,4346,5108,72983.0,74141.0,55577.0,56724.0,53789.0,77367.0,39282,9314,37751,8084,77033,17398,69.7,51.0,53.9,37.0,0.0,0.0,1.0,8943.122890772904,11144.32202465365,10011.54281962491,80833.81348259115,82362.82317006655,81575.96551979752,19166.186517408838,17637.176829933458,18424.034480202474
976,532,444,72576.0,86250.0,107500.0,59554.0,126964.0,88563.0,4847,1248,2579,910,7426,2158,153.4,6.0,124.9,5.0,0.0,0.0,1.0,8728.465955701395,12725.709372312986,10183.63939899833,79524.20016406891,73918.02808827744,77483.30550918197,20475.79983593109,26081.971911722558,22516.69449081803
798,424,374,70376.0,81029.0,143125.0,40625.0,75000.0,58333.0,3635,841,3591,692,7226,1533,44.0,4.0,39.6,3.0,0.0,0.0,1.0,9472.743521000893,8732.19705813682,9110.62906724512,81210.90259159965,83843.10063039925,82498.00205502912,18789.097408400357,16156.899369600747,17501.997944970888
25798,12018,13780,50254.0,52594.0,26967.0,92670.0,36250.0,42468.0,79768,13644,88015,11343,167783,24987,66.9,170.0,48.0,121.0,0.0,0.0,1.0,12865.584721449064,13869.039231868595,13382.787778181251,85393.73956236886,88583.70740151773,87037.92083830472,14606.26043763114,11416.292598482256,12962.079161695283
8288,3871,4417,41627.0,43395.0,35189.0,83564.0,22981.0,28939.0,18164,3252,18371,3712,36535,6964,73.9,39.0,66.0,34.0,0.0,0.0,1.0,18075.27082555099,20001.81134809582,19053.31157038093,84815.0915203586,83190.68967078748,83990.43656176004,15184.90847964139,16809.310329212516,16009.56343823996
8581,3867,4714,46729.0,51998.0,26605.0,46607.0,39063.0,32372.0,20688,2891,22567,2783,43255,5674,71.5,43.0,55.1,33.0,0.0,0.0,1.0,16400.186606726325,18595.660749506904,17537.6566044677,87739.08986810296,89021.69625246548,88403.60522389585,12260.910131897026,10978.303747534517,11596.39477610415
7515,3263,4252,36444.0,39636.0,21875.0,26389.0,33177.0,51131.0,15536,2520,16877,2437,32413,4957,83.0,44.0,71.9,39.0,0.0,0.0,1.0,18071.555161719098,22015.118566842702,20109.71367407011,86043.42046964998,87382.20979600289,86735.34921059673,13956.579530350022,12617.790203997101,13264.650789403266
9306,4092,5214,45028.0,49655.0,26807.0,43088.0,73636.0,25115.0,19228,3179,21602,3161,40830,6340,76.7,44.0,63.6,37.0,0.0,0.0,1.0,18262.150220913107,21055.607155837337,19728.641085435658,85812.46931762395,87234.98768323708,86559.25376298494,14187.530682376042,12765.012316762914,13440.746237015053
10334,4413,5921,53555.0,58246.0,34370.0,48563.0,49342.0,29038.0,31679,3669,36728,3425,68407,7094,78.1,66.0,66.1,55.0,0.0,0.0,1.0,12484.440420957339,14746.096182103454,13687.235930649924,89620.34627135907,91470.12676512341,90604.09795896744,10379.653728640942,8529.873234876597,9395.90204103257
20078,8854,11224,39220.0,41841.0,24950.0,35387.0,120714.0,35795.0,42271,7457,46984,6023,89255,13480,81.9,110.0,67.7,90.0,0.0,0.0,1.0,17804.858429858432,21174.561850321654,19543.48566700735,85004.42406692407,88637.3497839908,86878.86309436901,14995.575933075934,11362.650216009208,13121.136905630992
18746,7893,10853,41571.0,48967.0,24982.0,35662.0,45000.0,34063.0,42001,6928,47530,6187,89531,13115,70.8,88.0,56.1,69.0,0.0,0.0,1.0,16131.537533977806,20204.032243051548,18262.767180406445,85840.70796460177,88482.23095109555,87223.07737271789,14159.29203539823,11517.769048904443,12776.922627282114
