,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,0.294,0.004,0.026,0.000,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.964,0.993,0.960,0.978,0.964,0.972,0.012,1
9,0.148,0.002,0.015,0.001,50,100,"{'max_depth': 50, 'n_estimators': 100}",0.971,0.993,0.960,0.964,0.971,0.972,0.011,2
7,0.722,0.005,0.067,0.005,15,500,"{'max_depth': 15, 'n_estimators': 500}",0.975,0.989,0.964,0.964,0.967,0.972,0.010,3
8,0.082,0.009,0.009,0.001,50,50,"{'max_depth': 50, 'n_estimators': 50}",0.957,0.993,0.960,0.978,0.967,0.971,0.013,4
11,0.720,0.007,0.063,0.001,50,500,"{'max_depth': 50, 'n_estimators': 500}",0.964,0.993,0.964,0.971,0.964,0.971,0.011,5
1,0.161,0.015,0.014,0.001,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.971,0.996,0.960,0.978,0.949,0.971,0.016,6
3,0.722,0.004,0.097,0.064,15,500,"{'max_depth': 15, 'n_estimators': 500}",0.975,0.993,0.957,0.964,0.967,0.971,0.012,6
10,0.296,0.015,0.026,0.000,50,200,"{'max_depth': 50, 'n_estimators': 200}",0.968,0.993,0.960,0.964,0.967,0.970,0.012,8
2,0.289,0.002,0.026,0.000,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.975,0.989,0.964,0.964,0.960,0.970,0.011,9
5,0.146,0.001,0.014,0.000,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.968,0.982,0.967,0.964,0.967,0.970,0.006,10
0,0.083,0.013,0.008,0.001,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.949,0.986,0.960,0.971,0.967,0.967,0.012,11
4,0.074,0.000,0.008,0.000,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.968,0.971,0.949,0.967,0.949,0.961,0.010,12
